Director,IMDb Page
Kelly Close,"{'Director': 'Kelly Close', 'IMDb Page': 'https://www.imdb.com/name/nm1249996/?ref_=fn_nme_nme_1'}"
Diane Bertrand,"{'Director': 'Diane Bertrand', 'IMDb Page': 'https://www.imdb.com/name/nm0078363/?ref_=fn_nme_nme_1'}"
Zhao Wei,"{'Director': 'Zhao Wei', 'IMDb Page': 'https://www.imdb.com/name/nm0955505/?ref_=fn_nme_nme_1'}"
Lizzy Gardiner,"{'Director': 'Lizzy Gardiner', 'IMDb Page': 'https://www.imdb.com/name/nm0306773/?ref_=fn_nme_nme_1'}"
Rebecca Cammisa,"{'Director': 'Rebecca Cammisa', 'IMDb Page': 'https://www.imdb.com/name/nm1095640/?ref_=fn_nme_nme_1'}"
Stella Goulet,"{'Director': 'Stella Goulet', 'IMDb Page': 'https://www.imdb.com/name/nm2852564/?ref_=fn_nme_nme_1'}"
Anna Arevshatyan,"{'Director': 'Anna Arevshatyan', 'IMDb Page': 'https://www.imdb.com/name/nm7658058/?ref_=fn_nme_nme_1'}"
Éliane de Latour,"{'Director': 'Éliane de Latour', 'IMDb Page': 'https://www.imdb.com/name/nm0490324/?ref_=fn_nme_nme_1'}"
Diana Andringa,"{'Director': 'Diana Andringa', 'IMDb Page': 'https://www.imdb.com/name/nm0029020/?ref_=fn_nme_nme_1'}"
Darnell Martin,"{'Director': 'Darnell Martin', 'IMDb Page': 'https://www.imdb.com/name/nm0552140/?ref_=fn_nme_nme_1'}"
Isabelle Brocard,"{'Director': 'Isabelle Brocard', 'IMDb Page': 'https://www.imdb.com/name/nm3326936/?ref_=fn_nme_nme_1'}"
Lake Bell,"{'Director': 'Lake Bell', 'IMDb Page': 'https://www.imdb.com/name/nm1128572/?ref_=fn_nme_nme_1'}"
Debbie Melnyk,"{'Director': 'Debbie Melnyk', 'IMDb Page': 'https://www.imdb.com/name/nm1048918/?ref_=fn_nme_nme_1'}"
Lisa Palenica,"{'Director': 'Lisa Palenica', 'IMDb Page': 'https://www.imdb.com/name/nm4347209/?ref_=fn_nme_nme_1'}"
Hilari Scarl,"{'Director': 'Hilari Scarl', 'IMDb Page': 'https://www.imdb.com/name/nm1376369/?ref_=fn_nme_nme_1'}"
Petra Lataster-Czisch,"{'Director': 'Petra Lataster-Czisch', 'IMDb Page': 'https://www.imdb.com/name/nm0490007/?ref_=fn_nme_nme_1'}"
Estelle Linden,"{'Director': 'Estelle Linden', 'IMDb Page': 'https://www.imdb.com/name/nm7928737/?ref_=fn_nme_nme_1'}"
Uschi Ferstl,"{'Director': 'Uschi Ferstl', 'IMDb Page': 'https://www.imdb.com/name/nm0275167/?ref_=fn_nme_nme_1'}"
Sandra Schmidt,"{'Director': 'Sandra Schmidt', 'IMDb Page': 'https://www.imdb.com/name/nm3515945/?ref_=fn_nme_nme_1'}"
Beryl Schennen,"{'Director': 'Beryl Schennen', 'IMDb Page': 'https://www.imdb.com/name/nm0770944/?ref_=fn_nme_nme_1'}"
Saskia Jell,"{'Director': 'Saskia Jell', 'IMDb Page': 'https://www.imdb.com/name/nm0420579/?ref_=fn_nme_nme_1'}"
Katharina Wackernagel,"{'Director': 'Katharina Wackernagel', 'IMDb Page': 'https://www.imdb.com/name/nm0905228/?ref_=fn_nme_nme_1'}"
Beate Kunath,"{'Director': 'Beate Kunath', 'IMDb Page': 'https://www.imdb.com/name/nm0475057/?ref_=fn_nme_nme_1'}"
Maryam Bahralolomi,"{'Director': 'Maryam Bahralolomi', 'IMDb Page': 'https://www.imdb.com/name/nm9709077/?ref_=fn_nme_nme_1'}"
Jeanne Frenkel,"{'Director': 'Jeanne Frenkel', 'IMDb Page': 'https://www.imdb.com/name/nm9670522/?ref_=fn_nme_nme_1'}"
Sylvie Ohayon,"{'Director': 'Sylvie Ohayon', 'IMDb Page': 'https://www.imdb.com/name/nm4502162/?ref_=fn_nme_nme_1'}"
Rayhana Takouta,"{'Director': 'Rayhana Takouta', 'IMDb Page': 'Not Found'}"
Sekar Ayu Asmara,"{'Director': 'Sekar Ayu Asmara', 'IMDb Page': 'https://www.imdb.com/name/nm1322156/?ref_=fn_nme_nme_1'}"
Catherine Gale,"{'Director': 'Catherine Gale', 'IMDb Page': 'https://www.imdb.com/name/nm4002196/?ref_=fn_nme_nme_1'}"
Andrea Lammers,"{'Director': 'Andrea Lammers', 'IMDb Page': 'https://www.imdb.com/name/nm3628481/?ref_=fn_nme_nme_1'}"
Anna Justice,"{'Director': 'Anna Justice', 'IMDb Page': 'https://www.imdb.com/name/nm0433141/?ref_=fn_nme_nme_1'}"
Fernanda Frick,"{'Director': 'Fernanda Frick', 'IMDb Page': 'https://www.imdb.com/name/nm7936210/?ref_=fn_nme_nme_1'}"
Shahnewaz Kakoli,"{'Director': 'Shahnewaz Kakoli', 'IMDb Page': 'https://www.imdb.com/name/nm7840510/?ref_=fn_nme_nme_1'}"
Tara Hurley,"{'Director': 'Tara Hurley', 'IMDb Page': 'https://www.imdb.com/name/nm7460054/?ref_=fn_nme_nme_1'}"
Nancy Brandt,"{'Director': 'Nancy Brandt', 'IMDb Page': 'https://www.imdb.com/name/nm1637757/?ref_=fn_nme_nme_1'}"
Sushmit Ghosh,"{'Director': 'Sushmit Ghosh', 'IMDb Page': 'https://www.imdb.com/name/nm4424010/?ref_=fn_nme_nme_1'}"
Rintu Thomas,"{'Director': 'Rintu Thomas', 'IMDb Page': 'https://www.imdb.com/name/nm4045125/?ref_=fn_nme_nme_1'}"
Audrey Geyer,"{'Director': 'Audrey Geyer', 'IMDb Page': 'https://www.imdb.com/name/nm1633018/?ref_=fn_nme_nme_1'}"
Kathryn Ferguson,"{'Director': 'Kathryn Ferguson', 'IMDb Page': 'https://www.imdb.com/name/nm9276171/?ref_=fn_nme_nme_1'}"
Giulia Innocenzi,"{'Director': 'Giulia Innocenzi', 'IMDb Page': 'https://www.imdb.com/name/nm6457623/?ref_=fn_nme_nme_1'}"
Olga Baillif,"{'Director': 'Olga Baillif', 'IMDb Page': 'https://www.imdb.com/name/nm1274763/?ref_=fn_nme_nme_1'}"
Crystal Pite,"{'Director': 'Crystal Pite', 'IMDb Page': 'https://www.imdb.com/name/nm0685681/?ref_=fn_nme_nme_1'}"
Clarissa Campolina,"{'Director': 'Clarissa Campolina', 'IMDb Page': 'https://www.imdb.com/name/nm1080858/?ref_=fn_nme_nme_1'}"
Elin Övergaard,"{'Director': 'Elin Övergaard', 'IMDb Page': 'https://www.imdb.com/name/nm6475550/?ref_=fn_nme_nme_1'}"
Tucia Lyman,"{'Director': 'Tucia Lyman', 'IMDb Page': 'https://www.imdb.com/name/nm1709461/?ref_=fn_nme_nme_1'}"
Katie Dellamaggiore,"{'Director': 'Katie Dellamaggiore', 'IMDb Page': 'https://www.imdb.com/name/nm2279885/?ref_=fn_nme_nme_1'}"
Ivana Marinic Kragic,"{'Director': 'Ivana Marinic Kragic', 'IMDb Page': 'https://www.imdb.com/name/nm4920595/?ref_=fn_nme_nme_1'}"
Q122764797,"{'Director': 'Q122764797', 'IMDb Page': 'Not Found'}"
Q122764825,"{'Director': 'Q122764825', 'IMDb Page': 'Not Found'}"
Carlotta Kittel,"{'Director': 'Carlotta Kittel', 'IMDb Page': 'https://www.imdb.com/name/nm4123156/?ref_=fn_nme_nme_1'}"
Mag Hsu,"{'Director': 'Mag Hsu', 'IMDb Page': 'https://www.imdb.com/name/nm3422958/?ref_=fn_nme_nme_1'}"
Adaora Nwandu,"{'Director': 'Adaora Nwandu', 'IMDb Page': 'https://www.imdb.com/name/nm2308502/?ref_=fn_nme_nme_1'}"
Meher Afroz Shaon,"{'Director': 'Meher Afroz Shaon', 'IMDb Page': 'https://www.imdb.com/name/nm1156377/?ref_=fn_nme_nme_1'}"
Jennifer Jason Leigh,"{'Director': 'Jennifer Jason Leigh', 'IMDb Page': 'https://www.imdb.com/name/nm0000492/?ref_=fn_nme_nme_1'}"
Noemi Ben Natan Schori,"{'Director': 'Noemi Ben Natan Schori', 'IMDb Page': 'https://www.imdb.com/name/nm0070082/?ref_=fn_nme_nme_1'}"
Catherine Chabot,"{'Director': 'Catherine Chabot', 'IMDb Page': 'https://www.imdb.com/name/nm1632508/?ref_=fn_nme_nme_1'}"
Miryam Bouchard,"{'Director': 'Miryam Bouchard', 'IMDb Page': 'https://www.imdb.com/name/nm0098920/?ref_=fn_nme_nme_1'}"
Silvia Saraceno,"{'Director': 'Silvia Saraceno', 'IMDb Page': 'https://www.imdb.com/name/nm0764751/?ref_=fn_nme_nme_1'}"
Petra Clever,"{'Director': 'Petra Clever', 'IMDb Page': 'https://www.imdb.com/name/nm1157526/?ref_=fn_nme_nme_1'}"
Katharine Round,"{'Director': 'Katharine Round', 'IMDb Page': 'https://www.imdb.com/name/nm2504839/?ref_=fn_nme_nme_1'}"
Lærke Vindahl,"{'Director': 'Lærke Vindahl', 'IMDb Page': 'https://www.imdb.com/name/nm2016056/?ref_=fn_nme_nme_1'}"
Leanne Pooley,"{'Director': 'Leanne Pooley', 'IMDb Page': 'https://www.imdb.com/name/nm1482101/?ref_=fn_nme_nme_1'}"
Mia Wasikowska,"{'Director': 'Mia Wasikowska', 'IMDb Page': 'https://www.imdb.com/name/nm1985859/?ref_=fn_nme_nme_1'}"
Marieka Walsh,"{'Director': 'Marieka Walsh', 'IMDb Page': 'https://www.imdb.com/name/nm4784593/?ref_=fn_nme_nme_1'}"
Ashlee Page,"{'Director': 'Ashlee Page', 'IMDb Page': 'https://www.imdb.com/name/nm2214254/?ref_=fn_nme_nme_1'}"
Cate Blanchett,"{'Director': 'Cate Blanchett', 'IMDb Page': 'https://www.imdb.com/name/nm0000949/?ref_=fn_nme_nme_1'}"
Signe Byrge Sørensen,"{'Director': 'Signe Byrge Sørensen', 'IMDb Page': 'https://www.imdb.com/name/nm1718147/?ref_=fn_nme_nme_1'}"
Cynthia Carazato,"{'Director': 'Cynthia Carazato', 'IMDb Page': 'https://www.imdb.com/name/nm6118225/?ref_=fn_nme_nme_1'}"
Reinhild Dettmer-Finke,"{'Director': 'Reinhild Dettmer-Finke', 'IMDb Page': 'https://www.imdb.com/name/nm2450860/?ref_=fn_nme_nme_1'}"
Q12596501,"{'Director': 'Q12596501', 'IMDb Page': 'Not Found'}"
Rima Melati,"{'Director': 'Rima Melati', 'IMDb Page': 'https://www.imdb.com/name/nm0577420/?ref_=fn_nme_nme_1'}"
Courteney Cox,"{'Director': 'Courteney Cox', 'IMDb Page': 'https://www.imdb.com/name/nm0001073/?ref_=fn_nme_nme_1'}"
Wen-Chen Tseng,"{'Director': 'Wen-Chen Tseng', 'IMDb Page': 'https://www.imdb.com/name/nm1364702/?ref_=fn_nme_nme_1'}"
Lenore Eklund,"{'Director': 'Lenore Eklund', 'IMDb Page': 'https://www.imdb.com/name/nm6150396/?ref_=fn_nme_nme_1'}"
Lisa Eder-Held,"{'Director': 'Lisa Eder-Held', 'IMDb Page': 'https://www.imdb.com/name/nm1891098/?ref_=fn_nme_nme_1'}"
Marilyn Solaya,"{'Director': 'Marilyn Solaya', 'IMDb Page': 'https://www.imdb.com/name/nm0812758/?ref_=fn_nme_nme_1'}"
Jennifer Houlton,"{'Director': 'Jennifer Houlton', 'IMDb Page': 'https://www.imdb.com/name/nm0396561/?ref_=fn_nme_nme_1'}"
Cathy Sharon,"{'Director': 'Cathy Sharon', 'IMDb Page': 'https://www.imdb.com/name/nm2708740/?ref_=fn_nme_nme_1'}"
Fanny Bräuning,"{'Director': 'Fanny Bräuning', 'IMDb Page': 'https://www.imdb.com/name/nm3234935/?ref_=fn_nme_nme_1'}"
Brenda Mitchell,"{'Director': 'Brenda Mitchell', 'IMDb Page': 'https://www.imdb.com/name/nm7166654/?ref_=fn_nme_nme_1'}"
Justine Shapiro,"{'Director': 'Justine Shapiro', 'IMDb Page': 'https://www.imdb.com/name/nm0035184/?ref_=fn_nme_nme_1'}"
Xiaodan He,"{'Director': 'Xiaodan He', 'IMDb Page': 'https://www.imdb.com/name/nm0372101/?ref_=fn_nme_nme_1'}"
Jill Salvino,"{'Director': 'Jill Salvino', 'IMDb Page': 'https://www.imdb.com/name/nm4049958/?ref_=fn_nme_nme_1'}"
Ruxandra Medrea,"{'Director': 'Ruxandra Medrea', 'IMDb Page': 'https://www.imdb.com/name/nm3554224/?ref_=fn_nme_nme_1'}"
Hanna Hemilä,"{'Director': 'Hanna Hemilä', 'IMDb Page': 'https://www.imdb.com/name/nm0375991/?ref_=fn_nme_nme_1'}"
Moufida Tlatli,"{'Director': 'Moufida Tlatli', 'IMDb Page': 'https://www.imdb.com/name/nm0864741/?ref_=fn_nme_nme_1'}"
Julia Ocker,"{'Director': 'Julia Ocker', 'IMDb Page': 'https://www.imdb.com/name/nm3518458/?ref_=fn_nme_nme_1'}"
Myriam Aziza,"{'Director': 'Myriam Aziza', 'IMDb Page': 'https://www.imdb.com/name/nm0044310/?ref_=fn_nme_nme_1'}"
Kristin Gore,"{'Director': 'Kristin Gore', 'IMDb Page': 'https://www.imdb.com/name/nm0330751/?ref_=fn_nme_nme_1'}"
Angelina McLeod,"{'Director': 'Angelina McLeod', 'IMDb Page': 'https://www.imdb.com/name/nm1674639/?ref_=fn_nme_nme_1'}"
Peng Xiaolian,"{'Director': 'Peng Xiaolian', 'IMDb Page': 'https://www.imdb.com/name/nm1011907/?ref_=fn_nme_nme_1'}"
Marta Balletbò-Coll,"{'Director': 'Marta Balletbò-Coll', 'IMDb Page': 'https://www.imdb.com/name/nm0050815/?ref_=fn_nme_nme_1'}"
Rose Philippon,"{'Director': 'Rose Philippon', 'IMDb Page': 'https://www.imdb.com/name/nm5597257/?ref_=fn_nme_nme_1'}"
Catarina Diehl,"{'Director': 'Catarina Diehl', 'IMDb Page': 'https://www.imdb.com/name/nm9729701/?ref_=fn_nme_nme_1'}"
Farnoosh Samadi,"{'Director': 'Farnoosh Samadi', 'IMDb Page': 'https://www.imdb.com/name/nm5588413/?ref_=fn_nme_nme_1'}"
Maria Braarvig,"{'Director': 'Maria Braarvig', 'IMDb Page': 'https://www.imdb.com/name/nm11011096/?ref_=fn_nme_nme_1'}"
Sandhya Durchholz,"{'Director': 'Sandhya Durchholz', 'IMDb Page': 'Not Found'}"
Anna Negri,"{'Director': 'Anna Negri', 'IMDb Page': 'https://www.imdb.com/name/nm0624448/?ref_=fn_nme_nme_1'}"
Muriel Teodori,"{'Director': 'Muriel Teodori', 'IMDb Page': 'https://www.imdb.com/name/nm0879406/?ref_=fn_nme_nme_1'}"
Rosanna Arquette,"{'Director': 'Rosanna Arquette', 'IMDb Page': 'https://www.imdb.com/name/nm0000275/?ref_=fn_nme_nme_1'}"
Liz Marshall,"{'Director': 'Liz Marshall', 'IMDb Page': 'https://www.imdb.com/name/nm0551016/?ref_=fn_nme_nme_1'}"
Birgit Hein,"{'Director': 'Birgit Hein', 'IMDb Page': 'https://www.imdb.com/name/nm0374273/?ref_=fn_nme_nme_1'}"
Efterpi Charalambidis,"{'Director': 'Efterpi Charalambidis', 'IMDb Page': 'https://www.imdb.com/name/nm1896513/?ref_=fn_nme_nme_1'}"
Ralitza Petrova,"{'Director': 'Ralitza Petrova', 'IMDb Page': 'https://www.imdb.com/name/nm2432218/?ref_=fn_nme_nme_1'}"
Hafsia Herzi,"{'Director': 'Hafsia Herzi', 'IMDb Page': 'https://www.imdb.com/name/nm2082567/?ref_=fn_nme_nme_1'}"
Yu Shan Chen,"{'Director': 'Yu Shan Chen', 'IMDb Page': 'https://www.imdb.com/name/nm3498229/?ref_=fn_nme_nme_1'}"
Kristīne Želve,"{'Director': 'Kristīne Želve', 'IMDb Page': 'https://www.imdb.com/name/nm2629213/?ref_=fn_nme_nme_1'}"
Dagmar Brendecke,"{'Director': 'Dagmar Brendecke', 'IMDb Page': 'https://www.imdb.com/name/nm1699668/?ref_=fn_nme_nme_1'}"
Rosa María Oliart,"{'Director': 'Rosa María Oliart', 'IMDb Page': 'https://www.imdb.com/name/nm1529848/?ref_=fn_nme_nme_1'}"
Svetlana Stasenko,"{'Director': 'Svetlana Stasenko', 'IMDb Page': 'https://www.imdb.com/name/nm2386251/?ref_=fn_nme_nme_1'}"
Katinka Feistl,"{'Director': 'Katinka Feistl', 'IMDb Page': 'https://www.imdb.com/name/nm0270780/?ref_=fn_nme_nme_1'}"
Elena Kovaleva,"{'Director': 'Elena Kovaleva', 'IMDb Page': 'https://www.imdb.com/name/nm0468344/?ref_=fn_nme_nme_1'}"
Susan Dynner,"{'Director': 'Susan Dynner', 'IMDb Page': 'https://www.imdb.com/name/nm1309839/?ref_=fn_nme_nme_1'}"
Ana María Hermida,"{'Director': 'Ana María Hermida', 'IMDb Page': 'https://www.imdb.com/name/nm3005195/?ref_=fn_nme_nme_1'}"
Madeline Ivalu,"{'Director': 'Madeline Ivalu', 'IMDb Page': 'https://www.imdb.com/name/nm0993082/?ref_=fn_nme_nme_1'}"
Claudia Chabot,"{'Director': 'Claudia Chabot', 'IMDb Page': 'https://www.imdb.com/name/nm10703779/?ref_=fn_nme_nme_1'}"
Karin Bucher,"{'Director': 'Karin Bucher', 'IMDb Page': 'https://www.imdb.com/name/nm7634857/?ref_=fn_nme_nme_1'}"
Zuzana Zemanová,"{'Director': 'Zuzana Zemanová', 'IMDb Page': 'https://www.imdb.com/name/nm0389914/?ref_=fn_nme_nme_1'}"
Camila Freitas,"{'Director': 'Camila Freitas', 'IMDb Page': 'https://www.imdb.com/name/nm3323038/?ref_=fn_nme_nme_1'}"
Sofie Stougaard,"{'Director': 'Sofie Stougaard', 'IMDb Page': 'https://www.imdb.com/name/nm0832831/?ref_=fn_nme_nme_1'}"
Enrica Viola,"{'Director': 'Enrica Viola', 'IMDb Page': 'https://www.imdb.com/name/nm3618810/?ref_=fn_nme_nme_1'}"
Catherine Bainbridge,"{'Director': 'Catherine Bainbridge', 'IMDb Page': 'https://www.imdb.com/name/nm2313220/?ref_=fn_nme_nme_1'}"
Nisha Pahuja,"{'Director': 'Nisha Pahuja', 'IMDb Page': 'https://www.imdb.com/name/nm1263934/?ref_=fn_nme_nme_1'}"
Maria Elorza,"{'Director': 'Maria Elorza', 'IMDb Page': 'https://www.imdb.com/name/nm8332033/?ref_=fn_nme_nme_1'}"
Jada Pinkett Smith,"{'Director': 'Jada Pinkett Smith', 'IMDb Page': 'https://www.imdb.com/name/nm0000586/?ref_=fn_nme_nme_1'}"
Clara Trischler,"{'Director': 'Clara Trischler', 'IMDb Page': 'https://www.imdb.com/name/nm4054516/?ref_=fn_nme_nme_1'}"
Callie Khouri,"{'Director': 'Callie Khouri', 'IMDb Page': 'https://www.imdb.com/name/nm0451884/?ref_=fn_nme_nme_1'}"
Beata Parkanová,"{'Director': 'Beata Parkanová', 'IMDb Page': 'https://www.imdb.com/name/nm6591267/?ref_=fn_nme_nme_1'}"
Connie Field,"{'Director': 'Connie Field', 'IMDb Page': 'https://www.imdb.com/name/nm0275908/?ref_=fn_nme_nme_1'}"
Agathe Riedinger,"{'Director': 'Agathe Riedinger', 'IMDb Page': 'https://www.imdb.com/name/nm9336832/?ref_=fn_nme_nme_1'}"
Maria Tran,"{'Director': 'Maria Tran', 'IMDb Page': 'https://www.imdb.com/name/nm3489824/?ref_=fn_nme_nme_1'}"
Julia Margaret,"{'Director': 'Julia Margaret', 'IMDb Page': 'https://www.imdb.com/name/nm0240564/?ref_=fn_nme_nme_1'}"
Pia Hellenthal,"{'Director': 'Pia Hellenthal', 'IMDb Page': 'https://www.imdb.com/name/nm5215690/?ref_=fn_nme_nme_1'}"
Penélope Cruz,"{'Director': 'Penélope Cruz', 'IMDb Page': 'https://www.imdb.com/name/nm0004851/?ref_=fn_nme_nme_1'}"
Hélène A. Daigle,"{'Director': 'Hélène A. Daigle', 'IMDb Page': 'https://www.imdb.com/name/nm1006803/?ref_=fn_nme_nme_1'}"
Madeleine Dewald,"{'Director': 'Madeleine Dewald', 'IMDb Page': 'https://www.imdb.com/name/nm0223037/?ref_=fn_nme_nme_1'}"
Eva Ionesco,"{'Director': 'Eva Ionesco', 'IMDb Page': 'https://www.imdb.com/name/nm0409561/?ref_=fn_nme_nme_1'}"
Maryna Stepanska,"{'Director': 'Maryna Stepanska', 'IMDb Page': 'https://www.imdb.com/name/nm5688653/?ref_=fn_nme_nme_1'}"
Jordan Scott,"{'Director': 'Jordan Scott', 'IMDb Page': 'https://www.imdb.com/name/nm0779386/?ref_=fn_nme_nme_1'}"
May el-Toukhy,"{'Director': 'May el-Toukhy', 'IMDb Page': 'https://www.imdb.com/name/nm1392439/?ref_=fn_nme_nme_1'}"
Anne Schroeder,"{'Director': 'Anne Schroeder', 'IMDb Page': 'https://www.imdb.com/name/nm4214822/?ref_=fn_nme_nme_1'}"
Clara Mamet,"{'Director': 'Clara Mamet', 'IMDb Page': 'https://www.imdb.com/name/nm1565037/?ref_=fn_nme_nme_1'}"
Yasemin Şamdereli,"{'Director': 'Yasemin Şamdereli', 'IMDb Page': 'https://www.imdb.com/name/nm0759777/?ref_=fn_nme_nme_1'}"
Jessica Borst,"{'Director': 'Jessica Borst', 'IMDb Page': 'https://www.imdb.com/name/nm7661356/?ref_=fn_nme_nme_1'}"
Bryce Dallas Howard,"{'Director': 'Bryce Dallas Howard', 'IMDb Page': 'https://www.imdb.com/name/nm0397171/?ref_=fn_nme_nme_1'}"
Bady Minck,"{'Director': 'Bady Minck', 'IMDb Page': 'https://www.imdb.com/name/nm0591036/?ref_=fn_nme_nme_1'}"
Adele Lim,"{'Director': 'Adele Lim', 'IMDb Page': 'https://www.imdb.com/name/nm1004604/?ref_=fn_nme_nme_1'}"
Heike Fink,"{'Director': 'Heike Fink', 'IMDb Page': 'https://www.imdb.com/name/nm0277808/?ref_=fn_nme_nme_1'}"
Martina Saková,"{'Director': 'Martina Saková', 'IMDb Page': 'https://www.imdb.com/name/nm3958545/?ref_=fn_nme_nme_1'}"
Émilie Rosas,"{'Director': 'Émilie Rosas', 'IMDb Page': 'https://www.imdb.com/name/nm3560225/?ref_=fn_nme_nme_1'}"
Juliette Dominicus,"{'Director': 'Juliette Dominicus', 'IMDb Page': 'https://www.imdb.com/name/nm12908311/?ref_=fn_nme_nme_1'}"
Jennilyn Merten,"{'Director': 'Jennilyn Merten', 'IMDb Page': 'https://www.imdb.com/name/nm3142050/?ref_=fn_nme_nme_1'}"
Laura Alvea,"{'Director': 'Laura Alvea', 'IMDb Page': 'https://www.imdb.com/name/nm0023361/?ref_=fn_nme_nme_1'}"
Laura Bispuri,"{'Director': 'Laura Bispuri', 'IMDb Page': 'https://www.imdb.com/name/nm3053575/?ref_=fn_nme_nme_1'}"
Silvia Häselbarth,"{'Director': 'Silvia Häselbarth', 'IMDb Page': 'https://www.imdb.com/name/nm6120429/?ref_=fn_nme_nme_1'}"
Gitanjali Sinha,"{'Director': 'Gitanjali Sinha', 'IMDb Page': 'https://www.imdb.com/name/nm5059583/?ref_=fn_nme_nme_1'}"
Olga Subbotina,"{'Director': 'Olga Subbotina', 'IMDb Page': 'https://www.imdb.com/name/nm3143581/?ref_=fn_nme_nme_1'}"
Emmanuelle Schick Garcia,"{'Director': 'Emmanuelle Schick Garcia', 'IMDb Page': 'https://www.imdb.com/name/nm1475171/?ref_=fn_nme_nme_1'}"
Françoise Decaux-Thomelet,"{'Director': 'Françoise Decaux-Thomelet', 'IMDb Page': 'https://www.imdb.com/name/nm0213704/?ref_=fn_nme_nme_1'}"
Helen Lesnick,"{'Director': 'Helen Lesnick', 'IMDb Page': 'https://www.imdb.com/name/nm1007492/?ref_=fn_nme_nme_1'}"
Maga Zevallos,"{'Director': 'Maga Zevallos', 'IMDb Page': 'https://www.imdb.com/name/nm16364338/?ref_=fn_nme_nme_1'}"
Andrea Thiele,"{'Director': 'Andrea Thiele', 'IMDb Page': 'https://www.imdb.com/name/nm0857917/?ref_=fn_nme_nme_1'}"
Fatma Zohra Zamoum,"{'Director': 'Fatma Zohra Zamoum', 'IMDb Page': 'https://www.imdb.com/name/nm2235254/?ref_=fn_nme_nme_1'}"
Shana Feste,"{'Director': 'Shana Feste', 'IMDb Page': 'https://www.imdb.com/name/nm0275277/?ref_=fn_nme_nme_1'}"
Jeanette Schou,"{'Director': 'Jeanette Schou', 'IMDb Page': 'https://www.imdb.com/name/nm9712889/?ref_=fn_nme_nme_1'}"
Anja Dreschke,"{'Director': 'Anja Dreschke', 'IMDb Page': 'https://www.imdb.com/name/nm2507330/?ref_=fn_nme_nme_1'}"
Angela Tucker,"{'Director': 'Angela Tucker', 'IMDb Page': 'https://www.imdb.com/name/nm1308213/?ref_=fn_nme_nme_1'}"
Zakia Tahiri,"{'Director': 'Zakia Tahiri', 'IMDb Page': 'https://www.imdb.com/name/nm0098868/?ref_=fn_nme_nme_1'}"
Jaclyn Bradley Palmer,"{'Director': 'Jaclyn Bradley Palmer', 'IMDb Page': 'https://www.imdb.com/name/nm7073589/?ref_=fn_nme_nme_1'}"
Nadine Trintignant,"{'Director': 'Nadine Trintignant', 'IMDb Page': 'https://www.imdb.com/name/nm0873006/?ref_=fn_nme_nme_1'}"
Margrèt Gústavsdóttir,"{'Director': 'Margrèt Gústavsdóttir', 'IMDb Page': 'https://www.imdb.com/name/nm0349077/?ref_=fn_nme_nme_1'}"
Inesa Kurklietytė,"{'Director': 'Inesa Kurklietytė', 'IMDb Page': 'https://www.imdb.com/name/nm0476005/?ref_=fn_nme_nme_1'}"
Marie-Genevieve Chabot,"{'Director': 'Marie-Genevieve Chabot', 'IMDb Page': 'https://www.imdb.com/name/nm5663150/?ref_=fn_nme_nme_1'}"
Vanessa Lemaire,"{'Director': 'Vanessa Lemaire', 'IMDb Page': 'https://www.imdb.com/name/nm8456994/?ref_=fn_nme_nme_1'}"
Eva Hausberger,"{'Director': 'Eva Hausberger', 'IMDb Page': 'https://www.imdb.com/name/nm3685102/?ref_=fn_nme_nme_1'}"
Ruth Ozeki,"{'Director': 'Ruth Ozeki', 'IMDb Page': 'https://www.imdb.com/name/nm0522030/?ref_=fn_nme_nme_1'}"
Samira Vera-Cruz,"{'Director': 'Samira Vera-Cruz', 'IMDb Page': 'https://www.imdb.com/name/nm9711437/?ref_=fn_nme_nme_1'}"
Reema Rakesh Nath,"{'Director': 'Reema Rakesh Nath', 'IMDb Page': 'https://www.imdb.com/name/nm0707534/?ref_=fn_nme_nme_1'}"
Susanna Tamaro,"{'Director': 'Susanna Tamaro', 'IMDb Page': 'https://www.imdb.com/name/nm0848481/?ref_=fn_nme_nme_1'}"
Kay Cannon,"{'Director': 'Kay Cannon', 'IMDb Page': 'https://www.imdb.com/name/nm0134224/?ref_=fn_nme_nme_1'}"
Petra Katharina Wagner,"{'Director': 'Petra Katharina Wagner', 'IMDb Page': 'https://www.imdb.com/name/nm0906056/?ref_=fn_nme_nme_1'}"
Maggie Betts,"{'Director': 'Maggie Betts', 'IMDb Page': 'https://www.imdb.com/name/nm0079448/?ref_=fn_nme_nme_1'}"
Steffi Kammermeier,"{'Director': 'Steffi Kammermeier', 'IMDb Page': 'https://www.imdb.com/name/nm0436849/?ref_=fn_nme_nme_1'}"
Annette Apon,"{'Director': 'Annette Apon', 'IMDb Page': 'https://www.imdb.com/name/nm0032118/?ref_=fn_nme_nme_1'}"
Lynne Fernie,"{'Director': 'Lynne Fernie', 'IMDb Page': 'https://www.imdb.com/name/nm0273148/?ref_=fn_nme_nme_1'}"
Lisa Svelmøe,"{'Director': 'Lisa Svelmøe', 'IMDb Page': 'https://www.imdb.com/name/nm3947933/?ref_=fn_nme_nme_1'}"
Ísold Uggadóttir,"{'Director': 'Ísold Uggadóttir', 'IMDb Page': 'https://www.imdb.com/name/nm1750324/?ref_=fn_nme_nme_1'}"
