Director,IMDb Page
Alice Diop,"{'Director': 'Alice Diop', 'IMDb Page': 'https://www.imdb.com/name/nm4629833/?ref_=fn_nme_nme_1'}"
Billie Piper,"{'Director': 'Billie Piper', 'IMDb Page': 'https://www.imdb.com/name/nm0684877/?ref_=fn_nme_nme_1'}"
Churni Ganguly,"{'Director': 'Churni Ganguly', 'IMDb Page': 'https://www.imdb.com/name/nm1902543/?ref_=fn_nme_nme_1'}"
Helen S. Cohen,"{'Director': 'Helen S. Cohen', 'IMDb Page': 'https://www.imdb.com/name/nm1009755/?ref_=fn_nme_nme_1'}"
Debra Chasnoff,"{'Director': 'Debra Chasnoff', 'IMDb Page': 'https://www.imdb.com/name/nm0153899/?ref_=fn_nme_nme_1'}"
Lucile Hadžihalilović,"{'Director': 'Lucile Hadžihalilović', 'IMDb Page': 'https://www.imdb.com/name/nm0352968/?ref_=fn_nme_nme_1'}"
Veronica Kedar,"{'Director': 'Veronica Kedar', 'IMDb Page': 'https://www.imdb.com/name/nm3270108/?ref_=fn_nme_nme_1'}"
Martha Coolidge,"{'Director': 'Martha Coolidge', 'IMDb Page': 'https://www.imdb.com/name/nm0004838/?ref_=fn_nme_nme_1'}"
Margy Kinmonth,"{'Director': 'Margy Kinmonth', 'IMDb Page': 'https://www.imdb.com/name/nm0455682/?ref_=fn_nme_nme_1'}"
Jacqueline Veuve,"{'Director': 'Jacqueline Veuve', 'IMDb Page': 'https://www.imdb.com/name/nm0895496/?ref_=fn_nme_nme_1'}"
So Yong Kim,"{'Director': 'So Yong Kim', 'IMDb Page': 'https://www.imdb.com/name/nm0811611/?ref_=fn_nme_nme_1'}"
Fabiana de Barros,"{'Director': 'Fabiana de Barros', 'IMDb Page': 'https://www.imdb.com/name/nm5658122/?ref_=fn_nme_nme_1'}"
Maarit Lalli,"{'Director': 'Maarit Lalli', 'IMDb Page': 'https://www.imdb.com/name/nm0482438/?ref_=fn_nme_nme_1'}"
Patricia Wiesse Risso,"{'Director': 'Patricia Wiesse Risso', 'IMDb Page': 'https://www.imdb.com/name/nm9181651/?ref_=fn_nme_nme_1'}"
Teresa Villaverde,"{'Director': 'Teresa Villaverde', 'IMDb Page': 'https://www.imdb.com/name/nm0898177/?ref_=fn_nme_nme_1'}"
Marion Hänsel,"{'Director': 'Marion Hänsel', 'IMDb Page': 'https://www.imdb.com/name/nm0405578/?ref_=fn_nme_nme_1'}"
Camille Perton,"{'Director': 'Camille Perton', 'IMDb Page': 'https://www.imdb.com/name/nm15475102/?ref_=fn_nme_nme_1'}"
Malin Andersson,"{'Director': 'Malin Andersson', 'IMDb Page': 'https://www.imdb.com/name/nm5891279/?ref_=fn_nme_nme_1'}"
Rachel Grady,"{'Director': 'Rachel Grady', 'IMDb Page': 'https://www.imdb.com/name/nm1823227/?ref_=fn_nme_nme_1'}"
Heidi Ewing,"{'Director': 'Heidi Ewing', 'IMDb Page': 'https://www.imdb.com/name/nm1823216/?ref_=fn_nme_nme_1'}"
Philomène Esposito,"{'Director': 'Philomène Esposito', 'IMDb Page': 'https://www.imdb.com/name/nm0261198/?ref_=fn_nme_nme_1'}"
Bernadette Wegenstein,"{'Director': 'Bernadette Wegenstein', 'IMDb Page': 'https://www.imdb.com/name/nm4206403/?ref_=fn_nme_nme_1'}"
Leire Apellaniz,"{'Director': 'Leire Apellaniz', 'IMDb Page': 'https://www.imdb.com/name/nm2138449/?ref_=fn_nme_nme_1'}"
Patricia Ferreira,"{'Director': 'Patricia Ferreira', 'IMDb Page': 'https://www.imdb.com/name/nm0274407/?ref_=fn_nme_nme_1'}"
Carrie Preston,"{'Director': 'Carrie Preston', 'IMDb Page': 'https://www.imdb.com/name/nm0696387/?ref_=fn_nme_nme_1'}"
Kimberly Peirce,"{'Director': 'Kimberly Peirce', 'IMDb Page': 'https://www.imdb.com/name/nm0005303/?ref_=fn_nme_nme_1'}"
Erika Calmeyer,"{'Director': 'Erika Calmeyer', 'IMDb Page': 'https://www.imdb.com/name/nm4097336/?ref_=fn_nme_nme_1'}"
